编号,X坐标,Y坐标
1,185,69
2,569,68
3,952,68
4,1341,68
5,1724,68
6,2108,67
7,185,208
8,569,208
9,953,208
10,1340,208
11,1724,206
12,2108,208
13,185,348
14,569,346
15,953,344
16,1339,346
17,1724,344
18,2108,344
19,185,484
20,569,483
21,953,482
22,1339,483
23,1724,483
24,2107,483
25,184,623
26,569,623
27,952,623
28,1339,622
29,1723,621
30,2108,622
31,184,762
32,568,760
33,952,759
34,1339,760
35,1723,758
36,2107,759
37,184,899
38,568,898
39,952,899
40,1339,898
41,1723,898
42,2107,897
43,184,1037
44,568,1038
45,952,1038
46,1338,1037
47,1722,1035
48,2107,1035
49,184,1177
50,568,1174
51,952,1174
52,1339,1174
53,1723,1173
54,2107,1173
55,184,1314
56,568,1313
57,952,1313
58,1338,1312
59,1723,1311
60,2108,1312
61,184,1452
62,568,1452
63,952,1453
64,1338,1452
65,1722,1451
66,2108,1451
67,184,1592
68,568,1590
69,952,1589
70,1338,1589
71,1723,1588
72,2108,1588
73,185,1729
74,569,1728
75,952,1728
76,1339,1727
77,1723,1728
78,2107,1726
79,184,1868
80,568,1868
81,952,1869
82,1338,1868
83,1723,1868
84,2107,1869
